generation,best_fitness,mean_fitness,std_fitness
1,-0.0,0.0,0.0
2,-0.05,-0.002,0.009797958971132713
3,-0.0,0.0,0.0
4,-0.05,-0.004,0.013564659966250536
5,-0.05,-0.004,0.013564659966250536
6,-0.05,-0.002,0.009797958971132713
7,-0.0,0.0,0.0
8,-0.05,-0.006000000000000001,0.016248076809271924
9,-0.05,-0.002,0.009797958971132713
10,-0.1,-0.01,0.028284271247461905
11,-0.1,-0.01,0.024494897427831785
12,-0.15,-0.026000000000000002,0.04270831300812525
13,-0.2,-0.03,0.052915026221291815
14,-0.15,-0.028000000000000004,0.0448998886412873
15,-0.1,-0.02,0.0316227766016838
16,-0.2,-0.032,0.050754310161798086
17,-0.35,-0.054000000000000006,0.09046546302318913
18,-0.3,-0.078,0.0849470423263812
19,-0.2,-0.044,0.06374950980203692
20,-0.35,-0.07600000000000001,0.08380930735902785
21,-0.4,-0.098,0.10533755265810954
22,-0.4,-0.11599999999999999,0.1146472851837321
23,-0.3,-0.156,0.08404760555780277
24,-0.65,-0.158,0.15791136754521506
25,-0.4,-0.188,0.10225458424931372
26,-0.45,-0.17,0.10583005244258363
27,-0.5,-0.162,0.10979981785048644
28,-0.6,-0.168,0.15354478174135386
29,-0.45,-0.214,0.10632027088001611
30,-0.4,-0.226,0.11586198686368192
31,-0.45,-0.168,0.10476640682967037
32,-0.5,-0.264,0.1261110621634756
33,-0.5,-0.272,0.10777754868245984
34,-0.6,-0.306,0.12026637102698326
35,-0.5,-0.276,0.12009995836801943
36,-0.5,-0.28800000000000003,0.09826494797230598
37,-0.5,-0.302,0.10533755265810955
38,-0.55,-0.33599999999999997,0.08890444308357148
39,-0.65,-0.34600000000000003,0.12403225386970924
40,-0.5,-0.354,0.09156418513807678
41,-0.5,-0.34800000000000003,0.07678541528180986
42,-0.65,-0.36,0.12884098726725127
43,-0.65,-0.4,0.10099504938362079
44,-0.7,-0.398,0.12843675486401857
45,-0.55,-0.3940000000000001,0.10031948963187563
46,-0.55,-0.36199999999999993,0.07249827584156743
47,-0.65,-0.41999999999999993,0.11224972160321824
48,-0.65,-0.37799999999999995,0.11923086848631104
49,-0.6,-0.4,0.1
50,-0.7,-0.42399999999999993,0.12815615474880634
51,-0.8,-0.402,0.13673331708109768
52,-0.65,-0.38,0.1341640786499874
53,-0.6,-0.384,0.09769339793455852
54,-0.6,-0.376,0.11672189169131898
55,-0.6,-0.342,0.11973303637676613
56,-0.5,-0.32199999999999995,0.07493997598078077
57,-0.45,-0.326,0.08957678270623477
58,-0.6,-0.33,0.11224972160321824
59,-0.8,-0.38,0.14
60,-0.6,-0.40199999999999997,0.0854166260162505
61,-0.6,-0.3600000000000001,0.1224744871391589
62,-0.7,-0.376,0.11324310133513653
63,-0.7,-0.39199999999999996,0.11805083650698966
64,-0.6,-0.386,0.09221713506718804
65,-0.65,-0.36199999999999993,0.10127191120937731
66,-0.65,-0.42200000000000004,0.11582745788456207
67,-0.65,-0.332,0.11391224692718513
68,-0.65,-0.4059999999999999,0.11516944039110374
69,-0.65,-0.426,0.10594338110519223
70,-0.55,-0.41,0.1140175425099138
71,-0.55,-0.396,0.10091580649234293
72,-0.6,-0.3899999999999999,0.10392304845413264
73,-0.55,-0.374,0.11146299834474221
74,-0.65,-0.406,0.10892199043352083
75,-0.6,-0.4,0.0938083151964686
