variant,sensors,reward,seed,last25_success_pct,phase
A1,nociception_klinotaxis,gradient_proximity,42,56,step_b_pre_fix
A1,nociception_klinotaxis,gradient_proximity,43,68,step_b_pre_fix
A1,nociception_klinotaxis,gradient_proximity,44,72,step_b_pre_fix
A1,nociception_klinotaxis,gradient_proximity,45,72,step_b_pre_fix
A2,predator_mechano_klinotaxis+predator_chemo_klinotaxis,gradient_proximity,42,8,step_b_pre_fix
A2,predator_mechano_klinotaxis+predator_chemo_klinotaxis,gradient_proximity,43,16,step_b_pre_fix
A2,predator_mechano_klinotaxis+predator_chemo_klinotaxis,gradient_proximity,44,28,step_b_pre_fix
A2,predator_mechano_klinotaxis+predator_chemo_klinotaxis,gradient_proximity,45,40,step_b_pre_fix
A2,predator_mechano_klinotaxis+predator_chemo_klinotaxis,gradient_proximity,42,52,step_b_post_fix
A2,predator_mechano_klinotaxis+predator_chemo_klinotaxis,gradient_proximity,43,56,step_b_post_fix
A2,predator_mechano_klinotaxis+predator_chemo_klinotaxis,gradient_proximity,44,64,step_b_post_fix
A2,predator_mechano_klinotaxis+predator_chemo_klinotaxis,gradient_proximity,45,88,step_b_post_fix
B0.3,sparse_fix_mechano+predator_chemo_klinotaxis,gradient_proximity,42,16,step_b_pre_fix
B0.3,sparse_fix_mechano+predator_chemo_klinotaxis,gradient_proximity,43,16,step_b_pre_fix
B0.3,sparse_fix_mechano+predator_chemo_klinotaxis,gradient_proximity,44,24,step_b_pre_fix
B0.3,sparse_fix_mechano+predator_chemo_klinotaxis,gradient_proximity,45,40,step_b_pre_fix
B0.3,sparse_fix_mechano+predator_chemo_klinotaxis,gradient_proximity,42,64,step_b_post_fix
B0.3,sparse_fix_mechano+predator_chemo_klinotaxis,gradient_proximity,43,76,step_b_post_fix
B0.3,sparse_fix_mechano+predator_chemo_klinotaxis,gradient_proximity,44,76,step_b_post_fix
B0.3,sparse_fix_mechano+predator_chemo_klinotaxis,gradient_proximity,45,76,step_b_post_fix
B0.4,predator_biology_klinotaxis_composite,gradient_proximity,42,8,step_b_pre_fix
B0.4,predator_biology_klinotaxis_composite,gradient_proximity,43,12,step_b_pre_fix
B0.4,predator_biology_klinotaxis_composite,gradient_proximity,44,20,step_b_pre_fix
B0.4,predator_biology_klinotaxis_composite,gradient_proximity,45,24,step_b_pre_fix
B0.4,predator_biology_klinotaxis_composite,gradient_proximity,42,8,extended_validation_post_fix
B0.4,predator_biology_klinotaxis_composite,gradient_proximity,43,12,extended_validation_post_fix
B0.4,predator_biology_klinotaxis_composite,gradient_proximity,44,20,extended_validation_post_fix
B0.4,predator_biology_klinotaxis_composite,gradient_proximity,45,24,extended_validation_post_fix
B0.5,predator_mechano_klinotaxis+predator_chemo_klinotaxis,distal_chemo_contact_trigger,42,20,step_b_pre_fix
B0.5,predator_mechano_klinotaxis+predator_chemo_klinotaxis,distal_chemo_contact_trigger,43,24,step_b_pre_fix
B0.5,predator_mechano_klinotaxis+predator_chemo_klinotaxis,distal_chemo_contact_trigger,44,24,step_b_pre_fix
B0.5,predator_mechano_klinotaxis+predator_chemo_klinotaxis,distal_chemo_contact_trigger,45,32,step_b_pre_fix
B0.5,predator_mechano_klinotaxis+predator_chemo_klinotaxis,distal_chemo_contact_trigger,42,76,step_b_post_fix
B0.5,predator_mechano_klinotaxis+predator_chemo_klinotaxis,distal_chemo_contact_trigger,43,80,step_b_post_fix
B0.5,predator_mechano_klinotaxis+predator_chemo_klinotaxis,distal_chemo_contact_trigger,44,80,step_b_post_fix
B0.5,predator_mechano_klinotaxis+predator_chemo_klinotaxis,distal_chemo_contact_trigger,45,88,step_b_post_fix
B0.6,sparse_fix_mechano+predator_chemo_klinotaxis,distal_chemo_contact_trigger,42,72,extended_validation_post_fix
B0.6,sparse_fix_mechano+predator_chemo_klinotaxis,distal_chemo_contact_trigger,43,76,extended_validation_post_fix
B0.6,sparse_fix_mechano+predator_chemo_klinotaxis,distal_chemo_contact_trigger,44,76,extended_validation_post_fix
B0.6,sparse_fix_mechano+predator_chemo_klinotaxis,distal_chemo_contact_trigger,45,88,extended_validation_post_fix
