variant,sensors,reward,phase,n_seeds,last25_success_mean,last25_success_std,last25_death_rate_pct,last25_foods_per_ep,delta_vs_legacy_pp
A1,nociception_klinotaxis,gradient_proximity,reference,4,67.0,7.6,32.0,8.73,0.0
A2,predator_mechano_klinotaxis+predator_chemo_klinotaxis,gradient_proximity,step_b_pre_fix,4,23.0,14.0,76.0,5.61,-44.0
A2,predator_mechano_klinotaxis+predator_chemo_klinotaxis,gradient_proximity,step_b_post_fix,4,65.0,16.1,32.0,,-2.0
B0.3,sparse_fix_mechano+predator_chemo_klinotaxis,gradient_proximity,step_b_pre_fix,4,24.0,11.3,72.0,5.50,-43.0
B0.3,sparse_fix_mechano+predator_chemo_klinotaxis,gradient_proximity,step_b_post_fix,4,73.0,6.0,27.0,,6.0
B0.4,predator_biology_klinotaxis_composite,gradient_proximity,step_b_pre_fix,4,16.0,7.3,83.0,4.70,-51.0
B0.4,predator_biology_klinotaxis_composite,gradient_proximity,extended_validation_post_fix,4,16.0,7.3,83.0,4.70,-51.0
B0.5,predator_mechano_klinotaxis+predator_chemo_klinotaxis,distal_chemo_contact_trigger,step_b_pre_fix,4,25.0,5.0,72.0,5.70,-42.0
B0.5,predator_mechano_klinotaxis+predator_chemo_klinotaxis,distal_chemo_contact_trigger,step_b_post_fix,4,81.0,5.0,18.0,,14.0
B0.6,sparse_fix_mechano+predator_chemo_klinotaxis,distal_chemo_contact_trigger,extended_validation_post_fix,4,78.0,6.9,22.0,9.03,11.0
