control,seed,post_conv_pct
equivariant-quantum,42,88.79
equivariant-quantum,43,88.50
equivariant-quantum,44,86.28
equivariant-quantum,45,85.23
equivariant-quantum,46,87.14
equivariant-quantum,47,82.65
equivariant-quantum,48,88.77
equivariant-quantum,49,80.35
unstructured-quantum,42,82.73
unstructured-quantum,43,85.73
unstructured-quantum,44,83.85
unstructured-quantum,45,86.88
unstructured-quantum,46,85.67
unstructured-quantum,47,87.51
unstructured-quantum,48,76.78
unstructured-quantum,49,79.26
thin-classical,42,61.94
thin-classical,43,63.83
thin-classical,44,57.55
thin-classical,45,66.61
thin-classical,46,63.03
thin-classical,47,56.34
thin-classical,48,59.18
thin-classical,49,62.83
rich-classical-equivariant,42,85.40
rich-classical-equivariant,43,88.47
rich-classical-equivariant,44,90.09
rich-classical-equivariant,45,91.01
rich-classical-equivariant,46,87.87
rich-classical-equivariant,47,87.85
rich-classical-equivariant,48,86.77
rich-classical-equivariant,49,85.45
rich-classical-nonequivariant,42,88.45
rich-classical-nonequivariant,43,83.59
rich-classical-nonequivariant,44,84.81
rich-classical-nonequivariant,45,83.12
rich-classical-nonequivariant,46,88.08
rich-classical-nonequivariant,47,84.59
rich-classical-nonequivariant,48,88.96
rich-classical-nonequivariant,49,89.08
