arch,seed,post_conv_pct,overall_pct,convergence_run
mlpppo,42,76.57,46.30,476
mlpppo,43,79.41,61.30,253
mlpppo,44,78.45,62.30,240
mlpppo,45,70.22,25.60,776
mlpppo,46,79.39,71.10,215
mlpppo,47,55.30,41.50,359
mlpppo,48,73.11,54.90,313
mlpppo,49,72.43,42.80,457
lstmppo,42,85.21,45.80,487
lstmppo,43,84.53,47.20,458
lstmppo,44,73.09,41.20,477
lstmppo,45,81.17,51.40,401
lstmppo,46,85.49,52.60,422
lstmppo,47,82.77,35.40,618
lstmppo,48,88.07,52.20,456
lstmppo,49,88.15,39.30,638
connectomeppo,42,79.19,44.80,804
connectomeppo,43,71.81,37.90,664
connectomeppo,44,73.54,31.20,710
connectomeppo,45,78.83,50.30,642
connectomeppo,46,76.85,45.50,703
connectomeppo,47,71.43,17.40,889
connectomeppo,48,75.59,53.90,366
connectomeppo,49,77.21,39.70,549
cfcppo,42,89.79,29.70,766
cfcppo,43,87.08,25.70,792
cfcppo,44,86.01,32.70,715
cfcppo,45,91.49,30.70,766
cfcppo,46,89.66,38.80,624
cfcppo,47,60.00,3.50,None
cfcppo,48,83.91,27.00,771
cfcppo,49,87.56,39.70,567
spikingppo,42,82.99,46.54,3656
spikingppo,43,83.80,47.35,3624
spikingppo,44,84.24,52.98,3115
spikingppo,45,84.24,56.81,2905
spikingppo,46,83.31,55.65,3189
spikingppo,47,85.00,52.68,3274
spikingppo,48,86.48,57.73,2928
spikingppo,49,83.16,49.31,3327
equivariantquantum,42,88.79,70.12,1156
equivariantquantum,43,88.50,70.33,1175
equivariantquantum,44,86.28,67.90,1194
equivariantquantum,45,85.23,70.83,947
equivariantquantum,46,87.14,60.75,1482
equivariantquantum,47,82.65,63.98,1488
equivariantquantum,48,88.77,60.72,1623
equivariantquantum,49,80.35,65.30,948
