arch,seed,overall,reversal,non_reversal
mlpppo,1,0.4869,0.4919,0.4854
mlpppo,2,0.4944,0.5004,0.4916
mlpppo,3,0.4879,0.4941,0.4838
mlpppo,4,0.4995,0.5060,0.4913
mlpppo,5,0.4859,0.4918,0.4823
mlpppo,6,0.4909,0.4953,0.4894
mlpppo,7,0.4855,0.4874,0.4862
mlpppo,8,0.4863,0.4914,0.4825
lstmppo,1,0.9263,0.9918,0.8508
lstmppo,2,0.6163,0.4875,0.7520
lstmppo,3,0.6604,0.6474,0.6776
lstmppo,4,0.8323,0.8506,0.8100
lstmppo,5,0.9467,0.9574,0.9355
lstmppo,6,0.8335,0.7134,0.9596
lstmppo,7,0.8208,0.9431,0.6940
lstmppo,8,0.8483,0.7033,1.0000
cfcppo,1,0.8145,0.7636,0.8665
cfcppo,2,0.9773,0.9807,0.9744
cfcppo,3,0.9812,0.9994,0.9639
cfcppo,4,0.9875,0.9971,0.9778
cfcppo,5,0.9588,0.9390,0.9783
cfcppo,6,0.9616,0.9834,0.9384
cfcppo,7,0.6575,0.7073,0.6065
cfcppo,8,0.9757,0.9919,0.9580
transformerppo,1,0.9880,0.9814,0.9948
transformerppo,2,0.9907,0.9872,0.9946
transformerppo,3,0.9892,0.9819,0.9964
transformerppo,4,0.9941,0.9904,0.9984
transformerppo,5,0.9905,0.9867,0.9948
transformerppo,6,0.9839,0.9729,0.9964
transformerppo,7,0.9927,0.9897,0.9958
transformerppo,8,0.9827,0.9780,0.9887
mingruppo,1,0.8933,0.8098,0.9762
mingruppo,2,0.7728,0.5613,0.9956
mingruppo,3,0.8617,0.7414,0.9824
mingruppo,4,0.8171,0.6680,0.9731
mingruppo,5,0.8915,0.7806,1.0000
mingruppo,6,0.9032,0.8070,0.9972
mingruppo,7,0.8897,0.7880,0.9890
mingruppo,8,0.8475,0.6987,0.9984
minlstmppo,1,0.8905,0.7780,1.0000
minlstmppo,2,0.8659,0.7340,0.9998
minlstmppo,3,0.8591,0.7183,0.9993
minlstmppo,4,0.8557,0.7234,0.9894
minlstmppo,5,0.7775,0.5774,0.9881
minlstmppo,6,0.8573,0.7218,0.9924
minlstmppo,7,0.8569,0.7277,0.9859
minlstmppo,8,0.8511,0.7037,0.9986
